	hitsIn	hitsOut
pfam965	31	3
pfam966	31	3
pfam967	31	3
pfam968	31	3
pfam969	31	3
pfam970	31	3
pfam971	31	3
pfam972	31	3
pfam973	31	3
pfam974	31	3
pfam975	31	3
pfam976	31	3
pfam977	31	3
pfam978	31	3
pfam979	31	3
pfam980	31	3
pfam981	31	3
pfam982	31	3
pfam983	31	3
pfam984	31	3
pfam985	31	3
pfam986	31	3
pfam987	31	3
pfam988	31	3
pfam989	31	3
pfam990	31	3
pfam991	31	3
pfam992	31	3
pfam993	31	3
pfam994	31	3
pfam995	31	3
pfam996	31	3
pfam997	31	3
pfam998	31	3
pfam999	31	3
pfam1000	31	3
pfam1001	31	3
pfam1002	31	3
pfam1003	31	3
pfam1004	31	3
pfam1005	31	3
pfam1006	31	3
pfam1007	31	3
pfam1008	31	3
pfam1009	31	3
pfam1010	31	2
pfam1011	31	2
pfam1012	31	3
pfam1013	31	3
pfam1014	31	3
pfam1015	31	3
pfam1016	31	3
pfam1017	31	3
pfam1018	31	3
pfam1019	31	3
pfam1020	31	3
pfam1021	31	3
pfam1022	31	3
pfam1023	6	2
pfam1024	5	1
pfam1025	31	3
pfam1026	31	3
pfam1027	31	3
pfam1028	31	3
pfam1029	6	3
pfam1030	31	3
pfam1031	31	3
pfam1032	31	3
pfam1033	31	3
pfam1034	31	3
pfam1035	31	3
pfam1036	31	3
pfam1037	31	3
pfam1038	31	3
pfam1039	31	3
pfam1040	31	3
pfam1041	31	3
pfam1042	31	3
pfam1043	31	3
pfam1044	31	3
pfam1045	31	3
pfam1046	31	3
pfam1047	31	3
pfam1048	31	3
pfam1049	31	3
pfam1050	31	3
pfam1051	31	2
pfam1052	31	3
pfam1053	31	3
pfam1054	31	3
pfam1055	31	3
pfam1056	31	3
pfam1057	31	3
pfam1058	31	3
pfam1059	31	3
pfam1060	31	3
pfam1061	31	3
pfam1062	31	3
pfam1063	30	3
pfam1064	30	3
pfam1065	30	3
pfam1066	30	3
pfam1067	30	3
pfam1068	30	3
pfam1069	30	3
pfam1070	31	3
pfam1071	31	3
pfam1072	31	3
pfam1073	31	3
pfam1074	31	3
pfam1075	31	3
pfam1076	31	3
pfam1077	31	3
pfam1078	31	3
pfam1079	31	3
pfam1080	31	3
pfam1081	31	3
pfam1082	31	3
pfam1083	31	3
pfam1084	31	3
pfam1085	31	3
pfam1086	31	3
pfam1087	31	3
pfam1088	31	3
pfam1089	30	2
pfam1090	31	3
pfam1091	31	3
pfam1092	31	3
pfam1093	31	3
pfam1094	31	3
pfam1095	31	3
pfam1096	31	3
pfam1097	31	3
pfam1098	31	3
pfam1099	31	3
pfam1100	31	2
pfam1101	31	3
pfam1102	31	3
pfam1103	31	3
pfam1104	31	3
pfam1105	31	3
pfam1106	31	3
pfam1107	31	3
pfam1108	31	3
pfam1109	31	3
pfam1110	31	3
pfam1111	31	3
pfam1112	31	3
pfam1113	31	3
pfam1114	31	3
pfam1115	31	3
pfam1116	31	3
pfam1117	31	3
pfam1118	31	3
pfam1119	31	3
pfam1120	31	3
pfam1121	31	3
pfam1122	31	3
pfam1123	31	3
pfam1124	31	3
pfam1125	31	3
pfam1126	31	3
pfam1127	31	2
pfam1128	31	3
pfam1129	31	3
pfam1130	31	3
pfam1131	31	2
pfam1132	31	3
pfam1133	31	3
pfam1134	31	3
pfam1135	31	3
pfam1136	31	3
pfam1137	31	3
pfam1138	31	3
pfam1139	31	3
pfam1140	31	3
pfam1141	31	3
pfam1142	31	3
pfam1143	31	3
pfam1144	31	3
pfam1145	30	3
pfam1146	31	3
pfam1147	30	3
pfam1148	31	3
pfam1149	31	3
pfam1150	31	3
pfam1151	31	3
pfam1152	31	3
pfam1153	31	3
pfam1154	31	3
pfam1155	31	3
pfam1156	31	3
pfam1157	31	3
pfam1158	31	3
pfam1159	31	3
pfam1160	31	3
pfam1161	31	3
pfam1162	31	3
pfam1163	31	3
pfam1164	31	3
pfam1165	31	3
pfam1166	31	3
pfam1167	31	3
pfam1168	31	3
pfam1169	31	3
pfam1170	31	3
pfam1171	31	3
pfam1172	31	3
pfam1173	31	3
pfam1174	31	3
pfam1175	31	3
pfam1176	31	3
pfam1177	31	3
pfam1178	31	3
pfam1179	31	3
pfam1180	31	3
pfam1181	31	3
pfam1182	31	3
pfam1183	31	3
pfam1184	31	3
pfam1185	31	3
pfam1186	31	3
pfam1187	3	1
pfam1188	29	2
pfam1189	31	3
pfam1190	31	3
pfam1191	31	3
pfam1192	31	3
pfam1193	31	3
pfam1194	31	3
pfam1195	30	3
pfam1196	31	3
pfam1197	31	3
pfam1198	31	3
pfam1199	31	3
pfam1200	2	2
pfam1201	30	3
pfam1202	31	3
pfam1203	31	3
pfam1204	31	3
pfam1205	31	3
pfam1206	31	3
pfam1207	31	3
pfam1208	31	2
pfam1209	31	3
pfam1210	31	3
pfam1211	31	3
pfam1212	31	3
pfam1213	31	3
pfam1214	31	3
pfam1215	31	2
pfam1216	31	3
pfam1217	31	3
pfam1218	31	3
pfam1219	29	3
pfam1220	31	3
pfam1221	31	3
pfam1222	31	3
pfam1223	31	3
pfam1224	31	3
pfam1225	31	3
pfam1226	31	3
pfam1227	31	3
pfam1228	31	3
pfam1229	31	3
pfam1230	3	3
pfam1231	31	3
pfam1232	31	3
pfam1233	1	1
pfam1234	1	1
pfam1235	1	1
pfam1236	1	1
pfam1237	31	3
pfam1238	31	3
pfam1239	30	3
pfam1240	31	3
pfam1241	31	3
pfam1242	31	2
pfam1243	31	3
pfam1244	30	3
pfam1245	31	3
pfam1246	31	3
pfam1247	31	3
pfam1248	31	3
pfam1249	31	3
pfam1250	29	3
pfam1251	29	3
pfam1252	31	3
pfam1253	31	3
pfam1254	31	3
pfam1255	31	2
pfam1256	31	3
pfam1257	31	3
pfam1258	31	3
pfam1259	31	3
pfam1260	31	3
pfam1261	31	3
